,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
231440,ERI,9.6,*,put,12.5,0.0,2.8,4.1,0,0,0,2016-09-16,2016-02-18
231441,ERI,9.6,*,call,15.0,0.0,0.0,0.75,0,0,0,2016-09-16,2016-02-18
231442,ERI,9.6,*,put,15.0,0.0,4.9,6.4,0,0,0,2016-09-16,2016-02-18
366739,INCY,71.02,*,call,40.0,0.0,30.4,33.4,0,0,0,2016-02-19,2016-02-18
366740,INCY,71.02,*,put,40.0,0.0,0.0,0.15,0,0,0,2016-02-19,2016-02-18
366741,INCY,71.02,*,call,42.5,0.0,27.7,30.9,0,0,0,2016-02-19,2016-02-18
366742,INCY,71.02,*,put,42.5,0.0,0.0,0.15,0,0,0,2016-02-19,2016-02-18
366743,INCY,71.02,*,call,45.0,0.0,25.2,28.3,0,0,0,2016-02-19,2016-02-18
366744,INCY,71.02,*,put,45.0,0.3,0.0,0.05,0,20,0,2016-02-19,2016-02-18
366745,INCY,71.02,*,call,47.5,0.0,22.9,25.9,0,0,0,2016-02-19,2016-02-18
366746,INCY,71.02,*,put,47.5,0.0,0.0,0.15,0,0,0,2016-02-19,2016-02-18
366747,INCY,71.02,*,call,50.0,13.0,20.4,23.4,0,0,0,2016-02-19,2016-02-18
366748,INCY,71.02,*,put,50.0,0.2,0.0,0.1,0,20,0,2016-02-19,2016-02-18
